Headline;Month;Day
Investors Doubt Proposed Deals by Aetna and Anthem;7;8
Brand-Name Drug Makers Wary of Letting Generic Rival Join Their Club;7;1
With Trump’s Election, a Bonanza for Washington Lobbyists;11;10
Gilead Faces Fights Over Hepatitis C and H.I.V. Drugs;1;28
Pfizer Faces Limited Options After Its Dead Deal With Allergan;4;6
Pfizer to Buy Cancer Drug Maker in $14 Billion Deal;8;22
Alzheimer’s Drug LMTX Falters in Final Stage of Trials;7;27
Drug Prices Keep Rising Despite Intense Criticism;4;26
Protests at Elite University Show How Egyptian Cash Crisis Tests All;11;17
Pfizer and Allergan Are Said to End Merger as Tax Rules Tighten;4;5
Centerview Benefits From Wall St.’s Pivot to Smaller Banks;1;5
Meet the Highest-Paid C.E.O.s in 2015;5;27
