Headline;Month;Day
Pence Says U.S. Companies Leave ‘Conscience at the Door’ Over China;10;24
Nike to Shut Down Salazar’s Oregon Project;10;11
Doping Scandal Includes a Direct Link to Nike’s C.E.O.;10;1
Alberto Salazar, Coach of the Nike Oregon Project, Gets a 4-Year Doping Ban;10;1
For Salazar Whistle-Blowers, a Long Wait for a Satisfying Outcome;10;6
World Track Moves to Cut Off Alberto Salazar After Doping Allegation;10;1
Nike Drops Antonio Brown Amid Sexual Assault Lawsuit;9;19
Colin Kaepernick ‘Dream Crazy’ Ad Wins Nike an Emmy;9;16
Toronto Raptors Introduce Branded Hijabs;9;15
Pushed by Consumers, Some Sponsors Join Soccer’s Fight Over Equal Pay;8;5
Letter of Recommendation: Nike Air Force 1s;6;25
Nike Drops ‘Betsy Ross Flag’ Sneaker After Kaepernick Criticizes It;7;2
The Week in Business: Nike Faces a Sneaker Critique, and Christine Lagarde Needs a Replacement;7;6
Nike Says It Will End Financial Penalties for Pregnant Athletes;5;25
Nike and Pregnancy: Your Questions, Answered;5;14
Allyson Felix: My Own Nike Pregnancy Story;5;22
Allyson Felix: My Own Nike Pregnancy Story;5;22
Michael Avenatti Is Accused in Nike Extortion Attempt;3;25
Nike Told Me to Dream Crazy, Until I Wanted a Baby;5;12
Patriotism Done Right;7;11
What Is Nancy Pelosi Thinking?;7;11
Impeachment, Boris Johnson, Nike: Your Friday Evening Briefing;12;13
Netherlands May Have Given Nike Illegal Tax Breaks, E.U. Says;1;10
Film Club: ‘I Was the Fastest Girl in America, Until I Joined Nike’;11;21
Robespierre’s America;7;4
A Soccer Pro at 13? Olivia Moultrie Will Give It a Try;2;25
Shut Out by Shoe Giants, ‘Mom and Pop’ Stores Feel Pinched;6;18
I’m a Climber, and a Mother, and Doing Great, Thank You;6;18
Rape Accusation Against Neymar Captivates News Media and Spooks His Sponsors;6;8
Avenatti, Under Indictment but Defiant, Tries to Turn Focus Back to Trump;5;28
Fighting Rust, Serena Williams Has a Rocky Start in Paris;5;28
Serena Williams Won’t Be Silenced. Her Clothes Are Doing the Talking.;5;28
Nike and the 13-Star Flag;7;3
For Tiger Woods, the Love Is as Big as Ever;5;18
Maternity Leave for Athletes? Just Do It;5;12
Could Beer Brewed With Wind Power Help Save the Planet?;5;12
Golf Looks to a Tiger Boom 2.0;4;16
For Kenyan Runners, Winning Can Be a Road to Ruin;4;22
Prosecutors Announce Charges Against Michael Avenatti;3;25
Avenatti’s Client: The Basketball Club Coach Caught Up in a Federal Case.;3;29
Michael Avenatti’s Biggest Case Yet: His Own;3;31
Three Days in Paris With the Designer Combining Sportswear and Couture;3;19
Zion Williamson’s Shoe Splits Open During Game;2;22
A Star’s Shoe Breaks, Putting College Basketball Under a Microscope;2;22
Kaepernick;1;17
Women Finally Get Their Own World Cup Soccer Style;3;11
The Clothing Brand Coogi Is Suing the Nets Over Notorious B.I.G.-Inspired Jerseys;2;28
Tagging Along With Christelle Kocher in Paris;3;19
Slow Enough to Be a Sponsored Runner;3;6
Word + Quiz: persona non grata;3;14
Video Shows Art Thief Walking Away With Dali Etching;10;16
Jepkosgei’s N.Y.C. Marathon Upset Caps a Year of Leaps and Turmoil;11;3
Taking Back ‘Hysterical’;2;26
Zion Williamson’s Injury Has Some Saying He Should Quit Duke;2;21
Madeline Lazaris, Eric Heinbockel;6;9
In Chicago, Salazar’s Runners Stick to a Script;10;12
Quotation of the Day: Salazar Accusers Validated After Long, Grueling Wait;10;7
Zion Williamson Returns in Style, Leading Duke to Victory Over Syracuse;3;15
A New Sponsor for Allyson Felix;8;3
A Timeline of Colin Kaepernick vs. the N.F.L.;2;15
What They Wore for Their Kusama Art Selfies;12;6
Zion Williamson Will Be Fine, but His Teammates Might Not Be;2;22
Maternity Leave for Sponsored Runners;5;18
Should College Athletes Be Paid?;2;26
Donald Trump, India, Allyson Felix: Your Wednesday Evening Briefing;5;22
Mike Trout Received a Huge Payday. But Others Still Dwarf Him;3;19
